Roll Number,Business&TechnicalCommunication,MathematicsII,FinancialAccounting-I,ProgrammingLanguage-C,FundamentalsOfElectrical&Electronic,Project-I,SGPA,TEST,RED
21535175,B,F,B-,B+,F,A-,-,1.91875,2
21535176,B,C,C,B,C,A-,2.48,2.48125,0
21535178,B+,B+,A-,A-,C+,A,3.31,3.30625,0
21535179,A-,C+,B,C,C+,B+,2.7,2.7,0
21535180,A-,A,A,A-,A,A,3.89,3.8875,0
21535181,B,C+,B-,B-,C+,A-,2.67,2.66875,0
21535182,C-,F,F,F,F,B,-,0.50625,4
21535183,A-,B,B-,B+,A-,B+,3.28,3.28125,0
21535184,B+,A-,A,B-,A-,B+,3.46,3.46875,0
21535185,B+,Abs,Abs,B-,A-,B,-,#N/A,0
21535187,B,C+,C,C,F,B,-,1.93125,1
21535188,C,F,B,A,A,A-,-,2.66875,1
21535190,B-,C-,C+,C+,F,B,-,1.875,1
21535191,B+,A,B+,B+,C+,A,3.29,3.2875,0
21535192,B,A,A,B-,B+,B+,3.39,3.39375,0
21535193,C,F,C,C-,F,A,-,1.31875,2
21535195,B,C+,B-,B,C,B+,2.64,2.64375,0
21535196,B+,B,A-,B,B,A,3.25,3.25,0
21535198,C-,C,C+,B+,F,A,-,1.99375,1
21535199,D+,C-,C,F,F,A-,-,#N/A,2
21535200,B,C+,B+,C+,F,A-,-,2.275,1
21535201,C+,B+,C+,B+,C,B+,2.68,2.68125,0
21535202,B+,C+,C,B+,C+,A,2.72,2.725,0
21535203,C-,Expelled,C+,B,F,A-,-,#N/A,1
21535204,B+,F,C,B-,F,A-,-,1.73125,2
21535206,A,A,A,B-,A-,A-,3.68,3.68125,0
21535207,C+,C,A-,C+,B+,B+,2.75,2.75625,0
21535208,B+,B-,F,B-,B-,A-,-,2.36875,1
21535209,B+,A-,A,B+,B-,A,3.44,3.4375,0
21535211,B+,B-,B-,B+,B-,A-,2.99,2.9875,0
21535212,B+,C+,B+,B+,C,A-,2.89,2.89375,0
,,,,,,,,,19
