Roll Number,Object Oriented Programming in C++,Data Structure and Algorithms,Systems Analysis and Design,Financial Accounting II,Microprocessor,SGPA,Test,RED
21535175,F,F,C+,C,C,-,1.26,2
21535176,F,C,C,B-,B-,-,1.88,1
21535178,F,B+,B,A,B-,-,2.6,1
21535179,F,C,B-,B-,B-,-,2.02,1
21535180,A-,A,B,A,A,3.74,3.74,0
21535181,F,C+,F,B+,B-,-,1.66,2
21535182,F,C,C+,F,F,-,0.86,3
21535183,F,B+,B,B,A,-,2.66,1
21535184,F,C+,C+,B-,C,-,1.86,1
21535185,F,F,C,F,C,-,0.8,3
21535187,C+,B+,F,B,B+,-,2.38,1
21535188,F,C,C,F,C+,-,1.26,2
21535190,F,F,C+,C,B-,-,1.4,2
21535191,B+,A,B,A,A-,3.6,3.6,0
21535192,C+,C+,C,A,C+,2.58,2.58,0
21535193,F,C,C,C+,F,-,1.26,2
21535195,B,B,B,C,B,2.8,2.8,0
21535196,B-,B-,B,A,B+,3.14,3.14,0
21535198,C+,C,C+,C+,F,-,1.78,1
21535199,C,C+,Expelled,F,F,-,#N/A,2
21535200,C,B-,C+,B-,A,2.74,2.74,0
21535201,F,C,C,A-,B-,-,2.08,1
21535202,C+,B-,B+,B-,A-,2.94,2.94,0
21535203,F,C,B-,F,F,-,0.94,3
21535204,F,C,C+,C+,C+,-,1.78,1
21535206,B,B+,B-,A,A,3.4,3.4,0
21535207,C+,C,C,A-,B-,2.54,2.54,0
21535208,F,B,B-,B,F,-,1.74,2
21535209,A-,B+,B+,A,A,3.66,3.66,0
21535211,F,C+,B-,B-,B-,-,2.08,1
21535212,C,B-,B,A-,A,3.08,3.08,0
,,,,,,,,33
