Roll Number,Numerical Methods,Visual Programming,Operating Systems,Database Management System,Computer Graphics,Project II,SGPA,Test,RED
21535175,F,C+,C,C-,F,A,-,1.444444444,2
21535176,F,F,C,C+,C+,A,-,1.672222222,2
21535178,C+,C,C+,B,A-,A,2.86,2.866666667,0
21535179,F,C,C+,B-,B,A-,-,2.244444444,1
21535180,B-,A-,A,A-,A-,A,3.62,3.616666667,0
21535181,F,C,C,C,C,A-,-,1.855555556,1
21535182,F,F,F,D+,F,B+,-,#N/A,4
21535183,F,C,B-,A-,B+,A,-,2.577777778,1
21535184,F,C,B-,A-,A-,A,-,2.666666667,1
21535185,F,C,B,B,C,A-,-,2.188888889,1
21535187,C,C+,C+,C+,B-,A-,2.49,2.494444444,0
21535188,F,Abs,C+,B,F,A-,-,#N/A,2
21535190,F,C+,F,C-,C-,Abs,-,#N/A,2
21535191,B+,B,B+,A-,B+,A,3.39,3.394444444,0
21535192,B+,C,B-,B+,B,A-,2.96,2.961111111,0
21535193,F,F,F,C+,C-,A,-,1.205555556,3
21535195,F,C+,C+,B-,C,A-,-,2.072222222,1
21535196,C+,B+,B-,B+,B+,A,3.11,3.111111111,0
21535198,F,C,C,C,F,A-,-,1.411111111,2
21535199,F,F,B-,B-,C,A,-,1.788888889,2
21535200,F,B-,B-,B-,C,A,-,2.238888889,1
21535201,C,C,C+,B-,C,A,2.39,2.388888889,0
21535202,F,B+,B+,A,A-,A,-,3.033333333,1
21535203,F,C,C+,B-,C,A,-,2.055555556,1
21535204,F,C-,C,B-,B-,A-,-,2.077777778,1
21535206,A-,B+,A,A-,A-,A-,3.68,3.683333333,0
21535207,B-,C+,B-,B+,B,A-,2.91,2.911111111,0
21535208,B+,B-,B,A-,B-,A,3.16,3.161111111,0
21535209,B,B+,B,A-,A-,A,3.43,3.433333333,0
21535211,B,C+,B-,B,B-,A-,2.84,2.844444444,0
21535212,F,B,B-,A-,B,A-,-,2.644444444,1
,,,,,,,,,30
