Roll Number,ComputerArchitecture,JavaProgramming,WebTechnologies I,Mathematical Foundationof Computer Science,SoftwareEngineering,SGPA,Test,RED
21535175,C+,F,F,F,B-,-,1,3
21535176,B-,F,C,B-,B,-,2.08,1
21535178,A,A,B,A,A-,3.74,3.74,0
21535179,B-,C+,B-,C+,B+,2.66,2.66,0
21535180,A,A,A-,A,A,3.94,3.94,0
21535181,B,C,F,C,B+,-,2.06,1
21535182,F,F,F,F,F,-,0,5
21535183,A-,B,B+,B-,A-,3.28,3.28,0
21535184,A-,B-,B,B-,B+,3.08,3.08,0
21535185,A-,C+,B,B+,B+,3.12,3.12,0
21535187,B,F,C,C+,B-,-,2,1
21535188,B+,C,B-,B-,B+,2.8,2.8,0
21535190,C+,B-,C+,C-,B,2.4,2.4,0
21535191,A,B+,A-,A-,A,3.74,3.74,0
21535192,B-,B-,C+,A-,B,2.88,2.88,0
21535193,B-,F,B-,F,B-,-,1.62,2
21535195,B,C+,C,C,B+,2.52,2.52,0
21535196,B,B,B+,B,B+,3.12,3.12,0
21535198,C-,C,C+,B,C+,2.26,2.26,0
21535199,F,F,F,F,B+,-,0.66,4
21535200,F,C,B-,C,B-,-,1.88,1
21535201,C+,C,B-,F,B-,-,1.94,1
21535202,B+,A-,A-,A-,A,3.68,3.68,0
21535203,B-,C,C+,C+,B-,2.4,2.4,0
21535204,B-,C+,C,C,B+,2.46,2.46,0
21535206,A,A-,A-,A-,A-,3.76,3.76,0
21535207,B-,B-,B-,Abs,B,-,#N/A,0
21535208,A-,F,B,Abs,A-,-,#N/A,1
21535209,A-,A-,A-,A,A-,3.76,3.76,0
21535211,A-,A-,B-,B,A,3.42,3.42,0
21535212,B,B+,B+,C+,A-,3.12,3.12,0
,,,,,,,,20
